Day,Language Classwork,Lanugage Wordly Wise,Language Spelling,Language Seatwork,Chemistry Textbook,Chemistry Worksheets,Chemistry Videos,PsySo - VIDEO,PsyS0 Summaries,Computer BFN,Computer videos,Geometry Textbook,Geometry WORKBOOK,"Geometry 1,001 Problems",Geometry BFN,Geometry VIDEOS,Emma Math
60,Phrases and clauses - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 18,,Worksheet 38,Review for Test on Chapter 14,https://youtu.be/uxktavpRdzU,,,Review Unit 4 so far AND  CCCS #37 - Robots - https://youtu.be/3XkL0qQ21Oo,,,49-51,,https://youtu.be/BI-rtfZVXy0,Today's Worksheets
61,Direct and Indirect Objects - https://youtu.be/OSE3OiRGlgE,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 10,,,Test: Chapter 14,https://youtu.be/eMVyZ6Ax-74,,,Unit 4 Test Review AND CCCS #38 - Psychology of Computing - https://youtu.be/DEHsvQ3Ylwg,,,52-54,,https://youtu.be/3DIqvNjChpY,Today's Worksheets
62,Object Complements - https://youtu.be/UluiELDOKjk,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 11,204-206,,https://youtu.be/nxebQZUVvTg,https://youtu.be/4E1JiDFxFGk,,,Unit 4 Test Review,,,55-58,,https://youtu.be/vWtYAUbcYkU,Today's Worksheets
63,Subject Complements - https://youtu.be/YosEsGCRbeo,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 12,207-211 top,,https://youtu.be/PVL24HAesnc,https://youtu.be/6nEL44QkL9w,,,TEST 5,,99 mid - 103,,,https://youtu.be/j2SOoA8fKR0,Today's Worksheets
64,Appositives - https://youtu.be/QFcaUTd8DgY,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 14,211 top - 217,,https://youtu.be/SiZXRScxbl0,https://youtu.be/w2efaHgJ93A,,148-152,,,,,129-138,https://youtu.be/IwWQBs_PQzw,Today's Worksheets
65,Participles and Gerunds - https://youtu.be/u3JcvH-AfsY,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 15,,,Review for Test on Chapter 15,,PsyText: Chapter 16 Summary (pp 669-674),153-157,,,,17-20,,,Today's Worksheets
66,Infinitives: Clauses and Phrases - https://youtu.be/QZ4PJ5YQOAk,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 16,,,Test: Chapter 15,,Review notes from videos and book.,158-162,Chapter Questions,,,21-23,,https://youtu.be/7Kyo7DEbniE,Today's Worksheets
67,Absolute Phrases - https://youtu.be/dZ-SCQzppI8,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 17,,OEC 2.5, https://youtu.be/eVv3TpaQ2-A   https://youtu.be/4oEQGpfUv6I,,Review notes from videos and book.,163-167,,,,24-26,,https://youtu.be/LSAH2eT7_Jg,Today's Worksheets
68,Adjective Clauses - https://youtu.be/BtejoJxuxRM,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 19,218-222 ,OEC 3.6,https://youtu.be/2tRX14Uih1k https://youtu.be/1iYKajMsYPY,REVIEW FOR NEXT TEST,,168-170,,,,27-30,,https://youtu.be/GawWGpnjy1cc,Today's Worksheets
69,Adverb Clauses - https://youtu.be/MomSqUkG-C0,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 20,223-230,Worksheet 26,https://youtu.be/BqQJPCdmIp8,REVIEW FOR TEST TOMORROW,,171-175,,,,67-69,177-184,https://youtu.be/AwQcVe4B1gI   and  https://youtu.be/KlKYvbigBqs,Today's Worksheets
70,Noun Clauses - https://youtu.be/q18hOBP49KM,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 21,,,Review for Test on Chapter 16,TEST 6,,176-178,,,,70-71,,https://youtu.be/wQMGOjbWuE8,Today's Worksheets
71,Subject - verb agreement and pronoun - antecedent agreement - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 28-29,,,Test: Chapter 16,https://youtu.be/w2efaHgJ93A,,179-183,,,,72-73,,https://youtu.be/rfMZwrq-wL8,Today's Worksheets
72,Fragments and Run-ons - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 23,232-238,,https://youtu.be/U7wavimfNFE,https://youtu.be/h6HLDV0T5Q8,,184-186,Chapter Questions ,,115 - 119,,,https://youtu.be/5PcMbN46NMA,Today's Worksheets
73,Dangling modifiers and parallel structure - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 24,239-243,,https://youtu.be/mlRhLicNo8Q,https://youtu.be/UGxGDdQnC1Y,,187-190 (all),,155-161 mid,,,,https://youtu.be/y9udtA3cPgU,Today's Worksheets
74,Frequently confused words - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 35,244-248,OEC 2.4,https://youtu.be/nijb6UMvZuE,,PsyText: Chapter 12 Summary (pp 471-479),191-194 mid,,161 mid - 170 mid,,,,,Today's Worksheets
75,Common expressions - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 36,,,Review for Test on Chapter 17,https://youtu.be/7P0iP2Zm6a4,,194 mid-196,,,120 - 123 mid,,,https://youtu.be/yiREqzDsMP8,Today's Worksheets
76,Style - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 37,,,Test: Chapter 17,https://youtu.be/XoTx7Rt4dig,,197-198,Chapter Questions,170 mid - 176,,,,https://youtu.be/ogcH3eM5beM,Today's Worksheets
77,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 38,249-252,Worksheet 16,https://youtu.be/wI56mHUDJgQ,,Review notes from videos and book.,,Unit 5 Test Review,,123 mid - 127 mid,,186-196,https://youtu.be/WzPlNVOtprs,Today's Worksheets
78,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 39,253-257 mid,,https://youtu.be/Qflq48Foh2w,REVIEW FOR NEXT TEST,,,Unit 5 Test Review,,,89-91 (531),,https://youtu.be/t42sLuns4Qs,Today's Worksheets
79,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,257 mid-262,Worksheet 29,https://youtu.be/74-X94OP2XI,REVIEW FOR TEST TOMORROW,,,TEST 6,,,91 (532) - 92,197-208,,Today's Worksheets
